3.05, 3
3.01, 3.5
2.75, 4
2.35, 5
2.03, 6
1.77, 7
1.57, 8
1.40, 9
1.28, 10
1.05, 12
0.92, 14
0.82, 16
0.75, 18
0.65, 20
0.53, 25
0.43, 30
0.37, 35
0.32, 40
