3.11,3
2.69,4
2.28,5
1.98,6
1.75,7
1.63,8
1.52,9
1.41,10
1.24,12
1.1,14
0.988,16
0.91,18
0.853,20
0.711,25
0.655,30
0.595,35
0.575,40
